label_date,stock_code,ts_code,stock_name,return_y,abs_return_y,listing_date,delist_date,calendar_days_since_listing,calendar_days_to_listing,market_type,exchange,listing_status,daily_member,has_local_daily_history,has_base_or_future_daily_record,first_record_date,base_or_next_record_date,base_or_next_close,base_or_next_pct_change,event_date,event_stock_code,event_open,event_high,event_low,event_close,event_prev_close,previous_actual_close,reference_vs_previous_actual_ret,event_raw_pct_change,event_raw_close_ret,event_abs_raw_pct_change,event_volume,event_amount,event_turnover,prev_event_date,next_event_date,event_gap_before_market_days,event_gap_after_market_days,trading_days_since_first_record,event_is_first_record,raw_cum_from_base_or_next_to_event,event_raw_pct_captures_label,event_window,primary_cause,severity,cause_explanation
2018-06-12,300158,300158.SZ,振东制药,-0.531042561499413,0.531042561499413,2011-01-07,,2713.0,,创业板,SZSE,上市,300158.SZ.csv,True,True,2011-01-07,2018-06-12,12.81,-0.7,2018-06-14,300158.SZ,6.04,6.05,5.72,5.77,6.01,12.05,-0.5012448132780083,-3.99,-0.5211618257261412,3.99,74234.42,43499.662,0.8726,2018-06-13,2018-06-15,0,0,1665,False,-0.5495706479313037,True,10,corporate_action_unadjusted_price_discontinuity,High,unadjusted_price_discontinuity_ex_rights_or_corporate_action; label_matches_local_raw_move; nearest/event trading date 2018-06-14 differs from label date 2018-06-12
2016-05-13,002124,002124.SZ,天邦食品,-0.5306360630227582,0.5306360630227582,2007-04-03,,3328.0,,主板,SZSE,上市,002124.SZ.csv,True,True,2007-04-03,2016-05-13,25.85,2.09,2016-05-17,002124.SZ,12.36,12.37,11.43,11.52,12.23,27.1,-0.5487084870848709,-5.81,-0.5749077490774908,5.81,212244.28,249346.3309,6.9108,2016-05-16,2016-05-18,0,0,2158,False,-0.5543520309477756,False,10,corporate_action_unadjusted_price_discontinuity,High,unadjusted_price_discontinuity_ex_rights_or_corporate_action; nearest/event trading date 2016-05-17 differs from label date 2016-05-13
2017-04-21,300419,300419.SZ,ST浩丰,-0.5305446262166077,0.5305446262166077,2015-01-22,,820.0,,创业板,SZSE,上市,300419.SZ.csv,True,True,2015-01-22,2017-04-21,24.28,0.75,2017-04-25,300419.SZ,11.79,11.79,11.05,11.36,11.69,23.48,-0.502129471890971,-2.82,-0.51618398637138,2.82,34919.34,40057.742,1.7666,2017-04-24,2017-04-26,0,0,457,False,-0.5321252059308073,True,10,corporate_action_unadjusted_price_discontinuity,High,unadjusted_price_discontinuity_ex_rights_or_corporate_action; label_matches_local_raw_move; nearest/event trading date 2017-04-25 differs from label date 2017-04-21
2016-05-05,600422,600422.SH,昆药集团,-0.5303550973654061,0.5303550973654061,2000-12-06,,5629.0,,主板,SSE,上市,600422.SH.csv,True,True,2000-12-06,2016-05-05,30.45,2.01,2016-05-09,600422.SH,14.21,14.49,13.5,13.54,14.36,29.13,-0.5070374184689324,-5.71,-0.5351870923446619,5.71,83397.21,115606.347,2.4496,2016-05-06,2016-05-10,0,0,3630,False,-0.5553366174055829,False,10,corporate_action_unadjusted_price_discontinuity,High,unadjusted_price_discontinuity_ex_rights_or_corporate_action; nearest/event trading date 2016-05-09 differs from label date 2016-05-05
2016-03-25,002261,002261.SZ,拓维信息,-0.5303403330919624,0.5303403330919624,2008-07-23,,2802.0,,主板,SZSE,上市,002261.SZ.csv,True,True,2008-07-23,2016-03-25,33.91,-4.67,2016-03-29,002261.SZ,16.97,16.97,15.58,16.56,16.98,34.0,-0.5005882352941176,-2.47,-0.5129411764705882,2.47,557442.08,904040.0599,8.6639,2016-03-28,2016-03-30,0,0,1689,False,-0.5116484812739605,True,10,corporate_action_unadjusted_price_discontinuity,High,unadjusted_price_discontinuity_ex_rights_or_corporate_action; label_matches_local_raw_move; nearest/event trading date 2016-03-29 differs from label date 2016-03-25
2017-06-15,603328,603328.SH,依顿电子,-0.530276951963699,0.530276951963699,2014-07-01,,1080.0,,主板,SSE,上市,603328.SH.csv,True,True,2014-07-01,2017-06-15,31.85,0.89,2017-06-19,603328.SH,15.1,15.24,14.58,14.83,15.29,31.57,-0.5156794425087108,-3.01,-0.5302502375673108,3.01,61131.65,90786.038,6.2392,2017-06-16,2017-06-20,0,0,719,False,-0.5343799058084773,True,10,corporate_action_unadjusted_price_discontinuity,High,unadjusted_price_discontinuity_ex_rights_or_corporate_action; label_matches_local_raw_move; nearest/event trading date 2017-06-19 differs from label date 2017-06-15
2020-05-28,300773,300773.SZ,拉卡拉,-0.5295710120783007,0.5295710120783007,2019-04-25,,399.0,,创业板,SZSE,上市,300773.SZ.csv,True,True,2019-04-25,2020-05-28,71.2,-3.0633,2020-06-01,300773.SZ,35.07,35.5,33.21,35.19,35.02,72.04,-0.5138811771238201,0.4854,-0.5115213770127708,0.4854,140102.07,488837.702,3.6579,2020-05-29,2020-06-02,0,0,266,False,-0.5057584269662923,False,10,corporate_action_unadjusted_price_discontinuity,High,unadjusted_price_discontinuity_ex_rights_or_corporate_action; nearest/event trading date 2020-06-01 differs from label date 2020-05-28
2017-09-25,300571,300571.SZ,平治信息,-0.5295144952846664,0.5295144952846664,2016-12-13,,286.0,,创业板,SZSE,上市,300571.SZ.csv,True,True,2016-12-13,2017-09-25,144.5,-0.11,2017-09-27,300571.SZ,68.75,69.3,67.05,68.61,68.98,137.96,-0.5,-0.54,-0.5026819367932734,0.54,9928.04,67579.545,4.964,2017-09-26,2017-09-28,0,0,195,False,-0.5251903114186851,True,10,corporate_action_unadjusted_price_discontinuity,High,unadjusted_price_discontinuity_ex_rights_or_corporate_action; label_matches_local_raw_move; nearest/event trading date 2017-09-27 differs from label date 2017-09-25
2016-05-10,600136,600136.SH,ST明诚,-0.529442042413012,0.529442042413012,1998-03-03,,6643.0,,主板,SSE,上市,600136.SH.csv,True,True,1998-03-03,2016-05-10,48.37,0.02,2016-05-12,600136.SH,22.1,25.92,22.1,25.92,23.56,47.12,-0.5,10.02,-0.4499151103565364,10.02,30218.75,73061.329,2.5072,2016-05-11,2016-05-13,0,0,3918,False,-0.4641306594996898,False,10,corporate_action_unadjusted_price_discontinuity,High,unadjusted_price_discontinuity_ex_rights_or_corporate_action; nearest/event trading date 2016-05-12 differs from label date 2016-05-10
2018-06-29,300497,300497.SZ,富祥股份,-0.5292307692307693,0.5292307692307693,2015-12-22,,920.0,,创业板,SZSE,上市,300497.SZ.csv,True,True,2015-12-22,2018-06-29,38.44,4.74,2018-07-03,300497.SZ,18.56,18.58,17.53,18.2,18.46,37.42,-0.506680919294495,-1.41,-0.5136290753607697,1.41,24410.64,43934.692,1.9809,2018-07-02,2018-07-04,0,0,616,False,-0.5265348595213319,True,10,corporate_action_unadjusted_price_discontinuity,High,unadjusted_price_discontinuity_ex_rights_or_corporate_action; label_matches_local_raw_move; nearest/event trading date 2018-07-03 differs from label date 2018-06-29
2016-05-25,300480,300480.SZ,光力科技,-0.5287698412698413,0.5287698412698413,2015-07-02,,328.0,,创业板,SZSE,上市,300480.SZ.csv,True,True,2015-07-02,2016-05-25,48.99,3.79,2016-05-27,300480.SZ,24.25,26.18,23.5,25.0,24.72,49.38,-0.4993924665856623,1.13,-0.49372215471850955,1.13,109982.77,276658.9611,24.0141,2016-05-26,2016-05-30,0,0,221,False,-0.4896917738313942,False,10,corporate_action_unadjusted_price_discontinuity,High,unadjusted_price_discontinuity_ex_rights_or_corporate_action; nearest/event trading date 2016-05-27 differs from label date 2016-05-25
2016-05-26,002618,002618.SZ,丹邦退(退),-0.5284872298624756,0.5284872298624756,2011-09-20,2022-06-22,1710.0,,主板,SZSE,退市,002618.SZ.csv,True,True,2011-09-20,2016-05-26,45.8,5.53,2016-05-30,002618.SZ,21.91,22.93,21.0,22.02,22.38,44.79,-0.5003348961821835,-1.61,-0.5083724045545881,1.61,95488.83,210216.3791,2.6142,2016-05-27,2016-05-31,0,0,1128,False,-0.5192139737991266,True,10,corporate_action_unadjusted_price_discontinuity,High,unadjusted_price_discontinuity_ex_rights_or_corporate_action; label_matches_local_raw_move; nearest/event trading date 2016-05-30 differs from label date 2016-05-26
2016-05-06,600231,600231.SH,凌钢股份,-0.5278716216216216,0.5278716216216216,2000-05-11,,5839.0,,主板,SSE,上市,600231.SH.csv,True,True,2000-05-11,2016-05-06,5.91,-3.75,2016-05-10,600231.SH,2.78,2.85,2.68,2.7,2.69,5.4,-0.5018518518518519,0.37,-0.5,0.37,260974.25,71895.708,3.2459,2016-05-09,2016-05-11,0,0,3740,False,-0.5431472081218274,True,10,corporate_action_unadjusted_price_discontinuity,High,unadjusted_price_discontinuity_ex_rights_or_corporate_action; label_matches_local_raw_move; nearest/event trading date 2016-05-10 differs from label date 2016-05-06
2016-04-08,300443,300443.SZ,金雷股份,-0.5277504530157908,0.5277504530157908,2015-04-22,,352.0,,创业板,SZSE,上市,300443.SZ.csv,True,True,2015-04-22,2016-04-08,195.21,-0.4,2016-04-12,300443.SZ,93.0,97.5,86.0,87.22,93.79,188.1,-0.5013822434875066,-7.01,-0.5363104731525784,7.01,39409.95,362420.3015,17.5,2016-04-11,2016-04-13,0,0,237,False,-0.5531991188975975,False,10,corporate_action_unadjusted_price_discontinuity,High,unadjusted_price_discontinuity_ex_rights_or_corporate_action; nearest/event trading date 2016-04-12 differs from label date 2016-04-08
